paper_id,title,authors,abstract,venue,year,categories,source,metadata,title_length,abstract_length,num_authors,num_categories,combined_text,cluster_id
arxiv_2511.02401v1,Generalization in Representation Models via Random Matrix Theory: Application to Recurrent Networks,['Yessin Moakher' 'Malik Tiomoko' 'Cosme Louart' 'Zhenyu Liao'],"We first study the generalization error of models that use a fixed feature representation (frozen intermediate layers) followed by a trainable readout layer. This setting encompasses a range of architectures, from deep random-feature models to echo-state networks (ESNs) with recurrent dynamics. Working in the high-dimensional regime, we apply Random Matrix Theory to derive a closed-form expression for the asymptotic generalization error. We then apply this analysis to recurrent representations and obtain concise formula that characterize their performance. Surprisingly, we show that a linear ESN is equivalent to ridge regression with an exponentially time-weighted (''memory'') input covariance, revealing a clear inductive bias toward recent inputs. Experiments match predictions: ESNs win in low-sample, short-memory regimes, while ridge prevails with more data or long-range dependencies. Our methodology provides a general framework for analyzing overparameterized models and offers insights into the behavior of deep learning networks.",arXiv,2025,['math.ST' 'cs.LG' 'stat.ML'],arxiv,"{'citation_count': None, 'external_ids': None, 'pdf_url': 'https://arxiv.org/pdf/2511.02401v1', 'primary_category': 'math.ST', 'publication_date': None, 'published': '2025-11-04T09:30:31+00:00', 'reference_count': None}",99,1048,4,0,"Generalization in Representation Models via Random Matrix Theory: Application to Recurrent Networks. We first study the generalization error of models that use a fixed feature representation (frozen intermediate layers) followed by a trainable readout layer. This setting encompasses a range of architectures, from deep random-feature models to echo-state networks (ESNs) with recurrent dynamics. Working in the high-dimensional regime, we apply Random Matrix Theory to derive a closed-form expression for the asymptotic generalization error. We then apply this analysis to recurrent representations and obtain concise formula that characterize their performance. Surprisingly, we show that a linear ESN is equivalent to ridge regression with an exponentially time-weighted (''memory'') input covariance, revealing a clear inductive bias toward recent inputs. Experiments match predictions: ESNs win in low-sample, short-memory regimes, while ridge prevails with more data or long-range dependencies. Our methodology provides a general framework for analyzing overparameterized models and offers insights into the behavior of deep learning networks.",3
arxiv_2511.14406v1,Watch Out for the Lifespan: Evaluating Backdoor Attacks Against Federated Model Adaptation,['Bastien Vuillod' 'Pierre-Alain Moellic' 'Jean-Max Dutertre'],"Large models adaptation through Federated Learning (FL) addresses a wide range of use cases and is enabled by Parameter-Efficient Fine-Tuning techniques such as Low-Rank Adaptation (LoRA). However, this distributed learning paradigm faces several security threats, particularly to its integrity, such as backdoor attacks that aim to inject malicious behavior during the local training steps of certain clients. We present the first analysis of the influence of LoRA on state-of-the-art backdoor attacks targeting model adaptation in FL. Specifically, we focus on backdoor lifespan, a critical characteristic in FL, that can vary depending on the attack scenario and the attacker's ability to effectively inject the backdoor. A key finding in our experiments is that for an optimally injected backdoor, the backdoor persistence after the attack is longer when the LoRA's rank is lower. Importantly, our work highlights evaluation issues of backdoor attacks against FL and contributes to the development of more robust and fair evaluations of backdoor attacks, enhancing the reliability of risk assessments for critical FL systems. Our code is publicly available.",arXiv,2025,['cs.LG' 'cs.CR'],arxiv,"{'citation_count': None, 'external_ids': None, 'pdf_url': 'https://arxiv.org/pdf/2511.14406v1', 'primary_category': 'cs.LG', 'publication_date': None, 'published': '2025-11-18T12:13:59+00:00', 'reference_count': None}",90,1161,3,0,"Watch Out for the Lifespan: Evaluating Backdoor Attacks Against Federated Model Adaptation. Large models adaptation through Federated Learning (FL) addresses a wide range of use cases and is enabled by Parameter-Efficient Fine-Tuning techniques such as Low-Rank Adaptation (LoRA). However, this distributed learning paradigm faces several security threats, particularly to its integrity, such as backdoor attacks that aim to inject malicious behavior during the local training steps of certain clients. We present the first analysis of the influence of LoRA on state-of-the-art backdoor attacks targeting model adaptation in FL. Specifically, we focus on backdoor lifespan, a critical characteristic in FL, that can vary depending on the attack scenario and the attacker's ability to effectively inject the backdoor. A key finding in our experiments is that for an optimally injected backdoor, the backdoor persistence after the attack is longer when the LoRA's rank is lower. Importantly, our work highlights evaluation issues of backdoor attacks against FL and contributes to the development of more robust and fair evaluations of backdoor attacks, enhancing the reliability of risk assessments for critical FL systems. Our code is publicly available.",0
arxiv_2511.14617v1,Seer: Online Context Learning for Fast Synchronous LLM Reinforcement Learning,"['Ruoyu Qin' 'Weiran He' 'Weixiao Huang' 'Yangkun Zhang' 'Yikai Zhao'
 'Bo Pang' 'Xinran Xu' 'Yingdi Shan' 'Yongwei Wu' 'Mingxing Zhang']","Reinforcement Learning (RL) has become critical for advancing modern Large Language Models (LLMs), yet existing synchronous RL systems face severe performance bottlenecks. The rollout phase, which dominates end-to-end iteration time, suffers from substantial long-tail latency and poor resource utilization due to inherent workload imbalance. We present Seer, a novel online context learning system that addresses these challenges by exploiting previously overlooked similarities in output lengths and generation patterns among requests sharing the same prompt. Seer introduces three key techniques: divided rollout for dynamic load balancing, context-aware scheduling, and adaptive grouped speculative decoding. Together, these mechanisms substantially reduce long-tail latency and improve resource efficiency during rollout. Evaluations on production-grade RL workloads demonstrate that Seer improves end-to-end rollout throughput by 74% to 97% and reduces long-tail latency by 75% to 93% compared to state-of-the-art synchronous RL systems, significantly accelerating RL training iterations.",arXiv,2025,['cs.DC' 'cs.LG'],arxiv,"{'citation_count': None, 'external_ids': None, 'pdf_url': 'https://arxiv.org/pdf/2511.14617v1', 'primary_category': 'cs.DC', 'publication_date': None, 'published': '2025-11-18T16:12:21+00:00', 'reference_count': None}",77,1094,10,0,"Seer: Online Context Learning for Fast Synchronous LLM Reinforcement Learning. Reinforcement Learning (RL) has become critical for advancing modern Large Language Models (LLMs), yet existing synchronous RL systems face severe performance bottlenecks. The rollout phase, which dominates end-to-end iteration time, suffers from substantial long-tail latency and poor resource utilization due to inherent workload imbalance. We present Seer, a novel online context learning system that addresses these challenges by exploiting previously overlooked similarities in output lengths and generation patterns among requests sharing the same prompt. Seer introduces three key techniques: divided rollout for dynamic load balancing, context-aware scheduling, and adaptive grouped speculative decoding. Together, these mechanisms substantially reduce long-tail latency and improve resource efficiency during rollout. Evaluations on production-grade RL workloads demonstrate that Seer improves end-to-end rollout throughput by 74% to 97% and reduces long-tail latency by 75% to 93% compared to state-of-the-art synchronous RL systems, significantly accelerating RL training iterations.",2
s2_13a0d8bb38f739990c8cd65a44061c6534f17221,OPT: Open Pre-trained Transformer Language Models,"['Susan Zhang' 'Stephen Roller' 'Naman Goyal' 'Mikel Artetxe' 'Moya Chen'
 'Shuohui Chen' 'Christopher Dewan' 'Mona T. Diab' 'Xian Li'
 'Xi Victoria Lin' 'Todor Mihaylov' 'Myle Ott' 'Sam Shleifer'
 'Kurt Shuster' 'Daniel Simig' 'Punit Singh Koura' 'Anjali Sridhar'
 'Tianlu Wang' 'Luke Zettlemoyer']","Large language models, which are often trained for hundreds of thousands of compute days, have shown remarkable capabilities for zero- and few-shot learning. Given their computational cost, these models are difficult to replicate without significant capital. For the few that are available through APIs, no access is granted to the full model weights, making them difficult to study. We present Open Pre-trained Transformers (OPT), a suite of decoder-only pre-trained transformers ranging from 125M to 175B parameters, which we aim to fully and responsibly share with interested researchers. We show that OPT-175B is comparable to GPT-3, while requiring only 1/7th the carbon footprint to develop. We are also releasing our logbook detailing the infrastructure challenges we faced, along with code for experimenting with all of the released models.",arXiv.org,2022,['Computer Science'],s2orc,"{'citation_count': 4221.0, 'external_ids': {'ACL': None, 'ArXiv': '2205.01068', 'CorpusId': 248496292.0, 'DBLP': 'journals/corr/abs-2205-01068', 'DOI': None, 'MAG': None, 'PubMed': None, 'PubMedCentral': None}, 'pdf_url': None, 'primary_category': None, 'publication_date': '2022-05-02', 'published': None, 'reference_count': 120.0}",49,848,19,0,"OPT: Open Pre-trained Transformer Language Models. Large language models, which are often trained for hundreds of thousands of compute days, have shown remarkable capabilities for zero- and few-shot learning. Given their computational cost, these models are difficult to replicate without significant capital. For the few that are available through APIs, no access is granted to the full model weights, making them difficult to study. We present Open Pre-trained Transformers (OPT), a suite of decoder-only pre-trained transformers ranging from 125M to 175B parameters, which we aim to fully and responsibly share with interested researchers. We show that OPT-175B is comparable to GPT-3, while requiring only 1/7th the carbon footprint to develop. We are also releasing our logbook detailing the infrastructure challenges we faced, along with code for experimenting with all of the released models.",2
s2_ab9cc2c6a8d35d7a145cf608ff9dd7af87213253,RUBi: Reducing Unimodal Biases in Visual Question Answering,['Rémi Cadène' 'Corentin Dancette' 'H. Ben-younes' 'M. Cord' 'Devi Parikh'],"Visual Question Answering (VQA) is the task of answering questions about an image. Some VQA models often exploit unimodal biases to provide the correct answer without using the image information. As a result, they suffer from a huge drop in performance when evaluated on data outside their training set distribution. This critical issue makes them unsuitable for real-world settings. 
We propose RUBi, a new learning strategy to reduce biases in any VQA model. It reduces the importance of the most biased examples, i.e. examples that can be correctly classified without looking at the image. It implicitly forces the VQA model to use the two input modalities instead of relying on statistical regularities between the question and the answer. We leverage a question-only model that captures the language biases by identifying when these unwanted regularities are used. It prevents the base VQA model from learning them by influencing its predictions. This leads to dynamically adjusting the loss in order to compensate for biases. We validate our contributions by surpassing the current state-of-the-art results on VQA-CP v2. This dataset is specifically designed to assess the robustness of VQA models when exposed to different question biases at test time than what was seen during training. 
Our code is available: this http URL",Neural Information Processing Systems,2019,['Computer Science'],s2orc,"{'citation_count': 396.0, 'external_ids': {'ACL': None, 'ArXiv': '1906.10169', 'CorpusId': 195584122.0, 'DBLP': 'conf/nips/CadeneDBCP19', 'DOI': None, 'MAG': '2970017794', 'PubMed': None, 'PubMedCentral': None}, 'pdf_url': None, 'primary_category': None, 'publication_date': '2019-06-01', 'published': None, 'reference_count': 45.0}",59,1332,5,0,"RUBi: Reducing Unimodal Biases in Visual Question Answering. Visual Question Answering (VQA) is the task of answering questions about an image. Some VQA models often exploit unimodal biases to provide the correct answer without using the image information. As a result, they suffer from a huge drop in performance when evaluated on data outside their training set distribution. This critical issue makes them unsuitable for real-world settings. 
We propose RUBi, a new learning strategy to reduce biases in any VQA model. It reduces the importance of the most biased examples, i.e. examples that can be correctly classified without looking at the image. It implicitly forces the VQA model to use the two input modalities instead of relying on statistical regularities between the question and the answer. We leverage a question-only model that captures the language biases by identifying when these unwanted regularities are used. It prevents the base VQA model from learning them by influencing its predictions. This leads to dynamically adjusting the loss in order to compensate for biases. We validate our contributions by surpassing the current state-of-the-art results on VQA-CP v2. This dataset is specifically designed to assess the robustness of VQA models when exposed to different question biases at test time than what was seen during training. 
Our code is available: this http URL",1
s2_84c1102305595155feb33fa7ebdc37f3310b571e,ZeroQuant-HERO: Hardware-Enhanced Robust Optimized Post-Training Quantization Framework for W8A8 Transformers,"['Zhewei Yao' 'Reza Yazdani Aminabadi' 'Stephen Youn' 'Xiaoxia Wu'
 'Elton Zheng' 'Yuxiong He']","Quantization techniques are pivotal in reducing the memory and computational demands of deep neural network inference. Existing solutions, such as ZeroQuant, offer dynamic quantization for models like BERT and GPT but overlook crucial memory-bounded operators and the complexities of per-token quantization. Addressing these gaps, we present a novel, fully hardware-enhanced robust optimized post-training W8A8 quantization framework, ZeroQuant-HERO. This framework uniquely integrates both memory bandwidth and compute-intensive operators, aiming for optimal hardware performance. Additionally, it offers flexibility by allowing specific INT8 modules to switch to FP16/BF16 mode, enhancing accuracy.",arXiv.org,2023,['Computer Science'],s2orc,"{'citation_count': 2.0, 'external_ids': {'ACL': None, 'ArXiv': '2310.17723', 'CorpusId': 264555298.0, 'DBLP': 'journals/corr/abs-2310-17723', 'DOI': '10.48550/arXiv.2310.17723', 'MAG': None, 'PubMed': None, 'PubMedCentral': None}, 'pdf_url': None, 'primary_category': None, 'publication_date': '2023-10-26', 'published': None, 'reference_count': 25.0}",109,700,6,0,"ZeroQuant-HERO: Hardware-Enhanced Robust Optimized Post-Training Quantization Framework for W8A8 Transformers. Quantization techniques are pivotal in reducing the memory and computational demands of deep neural network inference. Existing solutions, such as ZeroQuant, offer dynamic quantization for models like BERT and GPT but overlook crucial memory-bounded operators and the complexities of per-token quantization. Addressing these gaps, we present a novel, fully hardware-enhanced robust optimized post-training W8A8 quantization framework, ZeroQuant-HERO. This framework uniquely integrates both memory bandwidth and compute-intensive operators, aiming for optimal hardware performance. Additionally, it offers flexibility by allowing specific INT8 modules to switch to FP16/BF16 mode, enhancing accuracy.",3
s2_35b142ea69598e6241f0011312128031df55895c,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,"['Zhihong Shao' 'Peiyi Wang' 'Qihao Zhu' 'R. Xu' 'Jun-Mei Song'
 'Mingchuan Zhang' 'Y. K. Li' 'Yu Wu' 'Daya Guo']","Mathematical reasoning poses a significant challenge for language models due to its complex and structured nature. In this paper, we introduce DeepSeekMath 7B, which continues pre-training DeepSeek-Coder-Base-v1.5 7B with 120B math-related tokens sourced from Common Crawl, together with natural language and code data. DeepSeekMath 7B has achieved an impressive score of 51.7% on the competition-level MATH benchmark without relying on external toolkits and voting techniques, approaching the performance level of Gemini-Ultra and GPT-4. Self-consistency over 64 samples from DeepSeekMath 7B achieves 60.9% on MATH. The mathematical reasoning capability of DeepSeekMath is attributed to two key factors: First, we harness the significant potential of publicly available web data through a meticulously engineered data selection pipeline. Second, we introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), that enhances mathematical reasoning abilities while concurrently optimizing the memory usage of PPO.",arXiv.org,2024,['Computer Science'],s2orc,"{'citation_count': 3139.0, 'external_ids': {'ACL': None, 'ArXiv': '2402.03300', 'CorpusId': 267412607.0, 'DBLP': 'journals/corr/abs-2402-03300', 'DOI': '10.48550/arXiv.2402.03300', 'MAG': None, 'PubMed': None, 'PubMedCentral': None}, 'pdf_url': None, 'primary_category': None, 'publication_date': '2024-02-05', 'published': None, 'reference_count': 57.0}",82,1053,9,0,"DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models. Mathematical reasoning poses a significant challenge for language models due to its complex and structured nature. In this paper, we introduce DeepSeekMath 7B, which continues pre-training DeepSeek-Coder-Base-v1.5 7B with 120B math-related tokens sourced from Common Crawl, together with natural language and code data. DeepSeekMath 7B has achieved an impressive score of 51.7% on the competition-level MATH benchmark without relying on external toolkits and voting techniques, approaching the performance level of Gemini-Ultra and GPT-4. Self-consistency over 64 samples from DeepSeekMath 7B achieves 60.9% on MATH. The mathematical reasoning capability of DeepSeekMath is attributed to two key factors: First, we harness the significant potential of publicly available web data through a meticulously engineered data selection pipeline. Second, we introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), that enhances mathematical reasoning abilities while concurrently optimizing the memory usage of PPO.",2
s2_7e42377dbaa3af86bcba0ccd614c6c0a4a7bd6a3,Unsupervised Person Image Generation With Semantic Parsing Transformation,['Sijie Song' 'Wei Zhang' 'Jiaying Liu' 'Tao Mei'],"In this paper, we address unsupervised pose-guided person image generation, which is known challenging due to non-rigid deformation. Unlike previous methods learning a rock-hard direct mapping between human bodies, we propose a new pathway to decompose the hard mapping into two more accessible subtasks, namely, semantic parsing transformation and appearance generation. Firstly, a semantic generative network is proposed to transform between semantic parsing maps, in order to simplify the non-rigid deformation learning. Secondly, an appearance generative network learns to synthesize semantic-aware textures. Thirdly, we demonstrate that training our framework in an end-to-end manner further refines the semantic maps and final results accordingly. Our method is generalizable to other semantic-aware person image generation tasks, e.g., clothing texture transfer and controlled image manipulation. Experimental results demonstrate the superiority of our method on DeepFashion and Market-1501 datasets, especially in keeping the clothing attributes and better body shapes.",Computer Vision and Pattern Recognition,2019,['Computer Science'],s2orc,"{'citation_count': 106.0, 'external_ids': {'ACL': None, 'ArXiv': '1904.03379', 'CorpusId': 102352602.0, 'DBLP': 'conf/cvpr/SongZLM19', 'DOI': '10.1109/CVPR.2019.00246', 'MAG': '2933625230', 'PubMed': None, 'PubMedCentral': None}, 'pdf_url': None, 'primary_category': None, 'publication_date': '2019-04-06', 'published': None, 'reference_count': 35.0}",73,1077,4,0,"Unsupervised Person Image Generation With Semantic Parsing Transformation. In this paper, we address unsupervised pose-guided person image generation, which is known challenging due to non-rigid deformation. Unlike previous methods learning a rock-hard direct mapping between human bodies, we propose a new pathway to decompose the hard mapping into two more accessible subtasks, namely, semantic parsing transformation and appearance generation. Firstly, a semantic generative network is proposed to transform between semantic parsing maps, in order to simplify the non-rigid deformation learning. Secondly, an appearance generative network learns to synthesize semantic-aware textures. Thirdly, we demonstrate that training our framework in an end-to-end manner further refines the semantic maps and final results accordingly. Our method is generalizable to other semantic-aware person image generation tasks, e.g., clothing texture transfer and controlled image manipulation. Experimental results demonstrate the superiority of our method on DeepFashion and Market-1501 datasets, especially in keeping the clothing attributes and better body shapes.",4
s2_1e33716e8820b867d5a8aaebab44c2d3135ea4ac,Make-A-Video: Text-to-Video Generation without Text-Video Data,"['Uriel Singer' 'Adam Polyak' 'Thomas Hayes' 'Xiaoyue Yin' 'Jie An'
 'Songyang Zhang' 'Qiyuan Hu' 'Harry Yang' 'Oron Ashual' 'Oran Gafni'
 'Devi Parikh' 'Sonal Gupta' 'Yaniv Taigman']","We propose Make-A-Video -- an approach for directly translating the tremendous recent progress in Text-to-Image (T2I) generation to Text-to-Video (T2V). Our intuition is simple: learn what the world looks like and how it is described from paired text-image data, and learn how the world moves from unsupervised video footage. Make-A-Video has three advantages: (1) it accelerates training of the T2V model (it does not need to learn visual and multimodal representations from scratch), (2) it does not require paired text-video data, and (3) the generated videos inherit the vastness (diversity in aesthetic, fantastical depictions, etc.) of today's image generation models. We design a simple yet effective way to build on T2I models with novel and effective spatial-temporal modules. First, we decompose the full temporal U-Net and attention tensors and approximate them in space and time. Second, we design a spatial temporal pipeline to generate high resolution and frame rate videos with a video decoder, interpolation model and two super resolution models that can enable various applications besides T2V. In all aspects, spatial and temporal resolution, faithfulness to text, and quality, Make-A-Video sets the new state-of-the-art in text-to-video generation, as determined by both qualitative and quantitative measures.",International Conference on Learning Representations,2022,['Computer Science'],s2orc,"{'citation_count': 1701.0, 'external_ids': {'ACL': None, 'ArXiv': '2209.14792', 'CorpusId': 252595919.0, 'DBLP': 'conf/iclr/SingerPH00ZHYAG23', 'DOI': None, 'MAG': None, 'PubMed': None, 'PubMedCentral': None}, 'pdf_url': None, 'primary_category': None, 'publication_date': '2022-09-29', 'published': None, 'reference_count': 51.0}",62,1328,13,0,"Make-A-Video: Text-to-Video Generation without Text-Video Data. We propose Make-A-Video -- an approach for directly translating the tremendous recent progress in Text-to-Image (T2I) generation to Text-to-Video (T2V). Our intuition is simple: learn what the world looks like and how it is described from paired text-image data, and learn how the world moves from unsupervised video footage. Make-A-Video has three advantages: (1) it accelerates training of the T2V model (it does not need to learn visual and multimodal representations from scratch), (2) it does not require paired text-video data, and (3) the generated videos inherit the vastness (diversity in aesthetic, fantastical depictions, etc.) of today's image generation models. We design a simple yet effective way to build on T2I models with novel and effective spatial-temporal modules. First, we decompose the full temporal U-Net and attention tensors and approximate them in space and time. Second, we design a spatial temporal pipeline to generate high resolution and frame rate videos with a video decoder, interpolation model and two super resolution models that can enable various applications besides T2V. In all aspects, spatial and temporal resolution, faithfulness to text, and quality, Make-A-Video sets the new state-of-the-art in text-to-video generation, as determined by both qualitative and quantitative measures.",4
arxiv_2511.15010v1,Latent space analysis and generalization to out-of-distribution data,"['Katie Rainey' 'Erin Hausmann' 'Donald Waagen' 'David Gray'
 'Donald Hulsey']","Understanding the relationships between data points in the latent decision space derived by the deep learning system is critical to evaluating and interpreting the performance of the system on real world data. Detecting \textit{out-of-distribution} (OOD) data for deep learning systems continues to be an active research topic. We investigate the connection between latent space OOD detection and classification accuracy of the model. Using open source simulated and measured Synthetic Aperture RADAR (SAR) datasets, we empirically demonstrate that the OOD detection cannot be used as a proxy measure for model performance. We hope to inspire additional research into the geometric properties of the latent space that may yield future insights into deep learning robustness and generalizability.",arXiv,2025,['stat.ML' 'cs.LG'],arxiv,"{'citation_count': None, 'external_ids': None, 'pdf_url': 'https://arxiv.org/pdf/2511.15010v1', 'primary_category': 'stat.ML', 'publication_date': None, 'published': '2025-11-19T01:23:34+00:00', 'reference_count': None}",68,795,5,0,"Latent space analysis and generalization to out-of-distribution data. Understanding the relationships between data points in the latent decision space derived by the deep learning system is critical to evaluating and interpreting the performance of the system on real world data. Detecting \textit{out-of-distribution} (OOD) data for deep learning systems continues to be an active research topic. We investigate the connection between latent space OOD detection and classification accuracy of the model. Using open source simulated and measured Synthetic Aperture RADAR (SAR) datasets, we empirically demonstrate that the OOD detection cannot be used as a proxy measure for model performance. We hope to inspire additional research into the geometric properties of the latent space that may yield future insights into deep learning robustness and generalizability.",3
