paper_id,title,abstract,year,venue,original_length,cleaned_length,word_count,token_count,compression_ratio,cleaned_text,tokens
s2_369b449415d50387fba048bbd4d26ee890df84b5,InternVid: A Large-scale Video-Text Dataset for Multimodal Understanding and Generation,"This paper introduces InternVid, a large-scale video-centric multimodal dataset that enables learning powerful and transferable video-text representations for multimodal understanding and generation. ...",2023,International Conference on Learning Representations,1453,1453,181,187,1.0,"internvid: a large-scale video-text dataset for multimodal understanding and generation this paper introduces internvid, a large-scale video-centric multimodal dataset that enables learning powerful and transferable video-text representations for multimodal understanding and generation. the internvid dataset contains over 7 million videos lasting nearly 760k hours, yielding 234m video clips accompanied by detailed descriptions of total 4.1b words. our core contribution is to develop a scalable approach to autonomously build a high-quality video-text dataset with large language models (llm), thereby showcasing its efficacy in learning video-language representation at scale. specifically, we utilize a multi-scale approach to generate video-related descriptions. furthermore, we introduce viclip, a video-text representation learning model based on vit-l. learned on internvid via contrastive learning, this model demonstrates leading zero-shot action recognition and competitive video retrieval performance. beyond basic video understanding tasks like recognition and retrieval, our dataset and model have broad applications. they are particularly beneficial for generating interleaved video-text data for learning a video-centric dialogue system, advancing video-to-text and text-to-video generation research. these proposed resources provide a tool for researchers and practitioners interested in multimodal video understanding and generation.","['internvid', 'large', 'scale', 'video', 'text', 'dataset', 'for', 'multimodal', 'understanding', 'and', 'generation', 'this', 'paper', 'introduces', 'internvid', 'large', 'scale', 'video', 'centric', 'multimodal']"
s2_c845494445f3bfa01d8245a4759b144e27aa3788,A Survey of Knowledge-enhanced Text Generation,"The goal of text-to-text generation is to make machines express like a human in many applications such as conversation, summarization, and translation. It is one of the most important yet challenging ...",2020,ACM Computing Surveys,1329,1329,197,198,1.0,"a survey of knowledge-enhanced text generation the goal of text-to-text generation is to make machines express like a human in many applications such as conversation, summarization, and translation. it is one of the most important yet challenging tasks in natural language processing (nlp). various neural encoder-decoder models have been proposed to achieve the goal by learning to map input text to output text. however, the input text alone often provides limited knowledge to generate the desired output, so the performance of text generation is still far from satisfaction in many real-world scenarios. to address this issue, researchers have considered incorporating (i) internal knowledge embedded in the input text and (ii) external knowledge from outside sources such as knowledge base and knowledge graph into the text generation system. this research topic is known as knowledge-enhanced text generation. in this survey, we present a comprehensive review of the research on this topic over the past five years. the main content includes two parts: (i) general methods and architectures for integrating knowledge into text generation; (ii) specific techniques and applications according to different forms of knowledge data. this survey can have broad audiences, researchers and practitioners, in academia and industry.","['survey', 'of', 'knowledge', 'enhanced', 'text', 'generation', 'the', 'goal', 'of', 'text', 'to', 'text', 'generation', 'is', 'to', 'make', 'machines', 'express', 'like', 'human']"
s2_21adf4285eb85f4a50106b84906f41c2bd68d510,A Causal Lens for Controllable Text Generation,"Controllable text generation concerns two fundamental tasks of wide applications, namely generating text of given attributes (i.e., attribute-conditional generation), and minimally editing existing te...",2022,Neural Information Processing Systems,1243,1243,172,164,1.0,"a causal lens for controllable text generation controllable text generation concerns two fundamental tasks of wide applications, namely generating text of given attributes (i.e., attribute-conditional generation), and minimally editing existing text to possess desired attributes (i.e., text attribute transfer). extensive prior work has largely studied the two problems separately, and developed different conditional models which, however, are prone to producing biased text (e.g., various gender stereotypes). this paper proposes to formulate controllable text generation from a principled causal perspective which models the two tasks with a unified framework. a direct advantage of the causal formulation is the use of rich causality tools to mitigate generation biases and improve control. we treat the two tasks as interventional and counterfactual causal inference based on a structural causal model, respectively. we then apply the framework to the challenging practical setting where confounding factors (that induce spurious correlations) are observable only on a small fraction of data. experiments show significant superiority of the causal approach over previous conditional models for improved control accuracy and reduced bias.","['causal', 'lens', 'for', 'controllable', 'text', 'generation', 'controllable', 'text', 'generation', 'concerns', 'two', 'fundamental', 'tasks', 'of', 'wide', 'applications', 'namely', 'generating', 'text', 'of']"
s2_304cf21da84961469ac9f43405df187441832b61,NeuroLogic A*esque Decoding: Constrained Text Generation with Lookahead Heuristics,"The dominant paradigm for neural text generation is left-to-right decoding from autoregressive language models. Constrained or controllable generation under complex lexical constraints, however, requi...",2021,North American Chapter of the Association for Computational Linguistics,1362,1345,170,179,0.9875183553597651,"neurologic a*esque decoding: constrained text generation with lookahead heuristics the dominant paradigm for neural text generation is left-to-right decoding from autoregressive language models. constrained or controllable generation under complex lexical constraints, however, requires foresight to plan ahead feasible future paths. drawing inspiration from the a^* search algorithm, we propose neurologic a*esque, a decoding algorithm that incorporates heuristic estimates of future cost. we develop lookahead heuristics that are efficient for large-scale language models, making our method a drop-in replacement for common techniques such as beam search and top-k sampling. to enable constrained generation, we build on neurologic decoding , combining its flexibility in incorporating logical constraints with a*esque estimates of future constraint satisfaction. our approach outperforms competitive baselines on five generation tasks, and achieves new state-of-the-art performance on table-to-text generation, constrained machine translation, and keyword-constrained generation. the improvements are particularly notable on tasks that require complex constraint satisfaction or in few-shot or zero-shot settings. neurologic a*esque illustrates the power of decoding for improving and enabling new capabilities of large-scale language models.","['neurologic', 'esque', 'decoding', 'constrained', 'text', 'generation', 'with', 'lookahead', 'heuristics', 'the', 'dominant', 'paradigm', 'for', 'neural', 'text', 'generation', 'is', 'left', 'to', 'right']"
s2_7845bfb55f5ce573b87d77bb76d4d38829b37620,TURINGBENCH: A Benchmark Environment for Turing Test in the Age of Neural Text Generation,"Recent progress in generative language models has enabled machines to generate astonishingly realistic texts. While there are many legitimate applications of such models, there is also a rising need t...",2021,Conference on Empirical Methods in Natural Language Processing,1425,1392,187,173,0.9768421052631578,"turingbench: a benchmark environment for turing test in the age of neural text generation recent progress in generative language models has enabled machines to generate astonishingly realistic texts. while there are many legitimate applications of such models, there is also a rising need to distinguish machine-generated texts from human-written ones (e.g., fake news detection). however, to our best knowledge, there is currently no benchmark environment with datasets and tasks to systematically study the so-called""turing test""problem for neural text generation methods. in this work, we present the turingbench benchmark environment, which is comprised of (1) a dataset with 200k human- or machine-generated samples across 20 labels {human, gpt-1, gpt-2_small, gpt-2_medium, gpt-2_large, gpt-2_xl, gpt-2_pytorch, gpt-3, grover_base, grover_large, grover_mega, ctrl, xlm, xlnet_base, xlnet_large, fair_wmt19, fair_wmt20, transformer_xl, pplm_distil, pplm_gpt2}, (2) two benchmark tasks -- i.e., turing test (tt) and authorship attribution (aa), and (3) a website with leaderboards. our preliminary experimental results using turingbench show that fair_wmt20 and gpt-3 are the current winners, among all language models tested, in generating the most human-like indistinguishable texts with the lowest f1 score by five state-of-the-art tt detection models. the turingbench is available at:","['turingbench', 'benchmark', 'environment', 'for', 'turing', 'test', 'in', 'the', 'age', 'of', 'neural', 'text', 'generation', 'recent', 'progress', 'in', 'generative', 'language', 'models', 'has']"
s2_6e0b6ba5cae954a0643baeb00167965e88458fc3,On the Blind Spots of Model-Based Evaluation Metrics for Text Generation,"In this work, we explore a useful but often neglected methodology for robustness analysis of text generation evaluation metrics: stress tests with synthetic data. Basically, we design and synthesize a...",2022,Annual Meeting of the Association for Computational Linguistics,1065,1019,154,151,0.9568075117370892,"on the blind spots of model-based evaluation metrics for text generation in this work, we explore a useful but often neglected methodology for robustness analysis of text generation evaluation metrics: stress tests with synthetic data. basically, we design and synthesize a wide range of potential errors and check whether they result in a commensurate drop in the metric scores. we examine a range of recently proposed evaluation metrics based on pretrained language models, for the tasks of open-ended generation, translation, and summarization. our experiments reveal interesting insensitivities, biases, or even loopholes in existing metrics. for example, we find that bertscore is confused by truncation errors in summarization, and mauve (built on top of gpt-2) is insensitive to errors at the beginning or middle of generations. further, we investigate the reasons behind these blind spots and suggest practical workarounds for a more reliable evaluation of text generation. we have released our code and data at","['on', 'the', 'blind', 'spots', 'of', 'model', 'based', 'evaluation', 'metrics', 'for', 'text', 'generation', 'in', 'this', 'work', 'we', 'explore', 'useful', 'but', 'often']"
s2_d7a7ebd1565c3795bc2bcdec4334d42a65ad17c5,Pretrained Language Models for Text Generation: A Survey,Text generation has become one of the most important yet challenging tasks in natural language processing (NLP). The resurgence of deep learning has greatly advanced this field by neural generation mo...,2021,arXiv.org,972,972,146,145,1.0,"pretrained language models for text generation: a survey text generation has become one of the most important yet challenging tasks in natural language processing (nlp). the resurgence of deep learning has greatly advanced this field by neural generation models, especially the paradigm of pretrained language models (plms). in this paper, we present an overview of the major advances achieved in the topic of plms for text generation. as the preliminaries, we present the general task definition and briefly describe the mainstream architectures of plms for text generation. as the core content, we discuss how to adapt existing plms to model different input data and satisfy special properties in the generated text. we further summarize several important fine-tuning strategies for text generation. finally, we present several future directions and conclude this paper. our survey aims to provide text generation researchers a synthesis and pointer to related research.","['pretrained', 'language', 'models', 'for', 'text', 'generation', 'survey', 'text', 'generation', 'has', 'become', 'one', 'of', 'the', 'most', 'important', 'yet', 'challenging', 'tasks', 'in']"
s2_c6bf48f25e0a65d64d658b47326de5922ea7dd44,A Token-level Reference-free Hallucination Detection Benchmark for Free-form Text Generation,"Large pretrained generative models like GPT-3 often suffer from hallucinating non-existent or incorrect content, which undermines their potential merits in real applications. Existing work usually att...",2021,Annual Meeting of the Association for Computational Linguistics,1197,1197,160,167,1.0,"a token-level reference-free hallucination detection benchmark for free-form text generation large pretrained generative models like gpt-3 often suffer from hallucinating non-existent or incorrect content, which undermines their potential merits in real applications. existing work usually attempts to detect these hallucinations based on a corresponding oracle reference at a sentence or document level. however ground-truth references may not be readily available for many free-form text generation applications, and sentence- or document-level detection may fail to provide the fine-grained signals that would prevent fallacious content in real time. as a first step to addressing these issues, we propose a novel token-level, reference-free hallucination detection task and an associated annotated dataset named hades (hallucination detection dataset). to create this dataset, we first perturb a large number of text segments extracted from english language wikipedia, and then verify these with crowd-sourced annotations. to mitigate label imbalance during annotation, we utilize an iterative model-in-loop strategy. we conduct comprehensive data analyses and create multiple baseline models.","['token', 'level', 'reference', 'free', 'hallucination', 'detection', 'benchmark', 'for', 'free', 'form', 'text', 'generation', 'large', 'pretrained', 'generative', 'models', 'like', 'gpt', 'often', 'suffer']"
s2_735bf29aaf13c9420653e271db37614be55154d7,Recent Advances in Retrieval-Augmented Text Generation,"Recently retrieval-augmented text generation has achieved state-of-the-art performance in many NLP tasks and has attracted increasing attention of the NLP and IR community, this tutorial thereby aims ...",2022,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,669,669,84,91,1.0,"recent advances in retrieval-augmented text generation recently retrieval-augmented text generation has achieved state-of-the-art performance in many nlp tasks and has attracted increasing attention of the nlp and ir community, this tutorial thereby aims to present recent advances in retrieval-augmented text generation comprehensively and comparatively. it firstly highlights the generic paradigm of retrieval-augmented text generation, then reviews notable works for different text generation tasks including dialogue generation, machine translation, and other generation tasks, and finally points out some limitations and shortcomings to facilitate future research.","['recent', 'advances', 'in', 'retrieval', 'augmented', 'text', 'generation', 'recently', 'retrieval', 'augmented', 'text', 'generation', 'has', 'achieved', 'state', 'of', 'the', 'art', 'performance', 'in']"
s2_e5f9cec0538f01e6e0435892746fa47a8c1068ca,Beyond Text Generation: Supporting Writers with Continuous Automatic Text Summaries,"We propose a text editor to help users plan, structure and reflect on their writing process. It provides continuously updated paragraph-wise summaries as margin annotations, using automatic text summa...",2022,ACM Symposium on User Interface Software and Technology,1084,1084,164,159,1.0,"beyond text generation: supporting writers with continuous automatic text summaries we propose a text editor to help users plan, structure and reflect on their writing process. it provides continuously updated paragraph-wise summaries as margin annotations, using automatic text summarization. summary levels range from full text, to selected (central) sentences, down to a collection of keywords. to understand how users interact with this system during writing, we conducted two user studies (n=4 and n=8) in which people wrote analytic essays about a given topic and article. as a key finding, the summaries gave users an external perspective on their writing and helped them to revise the content and scope of their drafted paragraphs. people further used the tool to quickly gain an overview of the text and developed strategies to integrate insights from the automated summaries. more broadly, this work explores and highlights the value of designing ai tools for writers, with natural language processing (nlp) capabilities that go beyond direct text generation and correction.","['beyond', 'text', 'generation', 'supporting', 'writers', 'with', 'continuous', 'automatic', 'text', 'summaries', 'we', 'propose', 'text', 'editor', 'to', 'help', 'users', 'plan', 'structure', 'and']"
